,context,question,answer
10,"However questions still remain, as some of the corrupt government officials have still not been brought to justice, while the many families who lost their only child, are still seeking compensation and justice to what had happened. According to the Times, many parents were warned by the government not to stage a protest under the threat of arrest.","['Who has not been brought to justice?', 'Who is still looking for compensation and justice?', 'What has the government threatened people with to keep them from protesting?', 'What media reported the threat of arrest?', 'What did many families lose in the earthquake?']","['corrupt government officials', 'many families', 'threat of arrest', 'the Times', 'their only child']"
11,"In 2006, the Sister City Program of the City of New York, Inc. was restructured and renamed New York City Global Partners. New York City has expanded its international outreach via this program to a network of cities worldwide, promoting the exchange of ideas and innovation between their citizenry and policymakers, according to the city's website. New York's historic sister cities are denoted below by the year they joined New York City's partnership network.","['What is the new name of the Sister City Program of the City of New York, Inc.?', 'In what year did the Sister City Program of the City of New York, Inc. have its name changed?']","['New York City Global Partners', '2006']"
12,"According to a National Geographic article, the novel is so revered in Monroeville that people quote lines from it like Scripture; yet Harper Lee herself refused to attend any performances, because ""she abhors anything that trades on the book's fame"". To underscore this sentiment, Lee demanded that a book of recipes named Calpurnia's Cookbook not be published and sold out of the Monroe County Heritage Museum. David Lister in The Independent states that Lee's refusal to speak to reporters made them desire to interview her all the more, and her silence ""makes Bob Dylan look like a media tart"". Despite her discouragement, a rising number of tourists made to Monroeville a destination, hoping to see Lee's inspiration for the book, or Lee herself. Local residents call them ""Mockingbird groupies"", and although Lee was not reclusive, she refused publicity and interviews with an emphatic ""Hell, no!""","['How do the citizens of Monroeville quote lines of the book?', 'What do the Monroeville townspeople call tourists to their town?']","['like Scripture', 'Mockingbird groupies']"
13,"In 2011, a report by the International Energy Agency found that solar energy technologies such as photovoltaics, solar hot water and concentrated solar power could provide a third of the world’s energy by 2060 if politicians commit to limiting climate change. The energy from the sun could play a key role in de-carbonizing the global economy alongside improvements in energy efficiency and imposing costs on greenhouse gas emitters. ""The strength of solar is the incredible variety and flexibility of applications, from small scale to big scale"".","[""According to a report in 2011, by what year could solar energy provide a third of the world's energy?"", ""What could the sun's energy do to help limit climate change?""]","['2060', 'could play a key role in de-carbonizing the global economy alongside improvements in energy efficiency and imposing costs on greenhouse gas emitters']"
14,"Public education in Tajikistan consists of 11 years of primary and secondary education but the government has plans to implement a 12-year system in 2016. There is a relatively large number of tertiary education institutions including Khujand State University which has 76 departments in 15 faculties, Tajikistan State University of Law, Business, & Politics, Khorugh State University, Agricultural University of Tajikistan, Tajik State National University, and several other institutions. Most, but not all, universities were established during the Soviet Era. As of 2008[update] tertiary education enrollment was 17%, significantly below the sub-regional average of 37%. Many Tajiks left the education system due to low demand in the labor market for people with extensive educational training or professional skills.","['How many years of school are there in the Tajikistan school system?', 'What do they want to impliment in 2016?', 'What is the name of one of the tertiary education institutions?', 'What is the percent of tertiary education enrollment?']","['11 years of primary and secondary education', 'a 12-year system', 'Khujand State University', '17%']"
15,"Since the 1980s it has become common for social and cultural anthropologists to set ethnographic research in the North Atlantic region, frequently examining the connections between locations rather than limiting research to a single locale. There has also been a related shift toward broadening the focus beyond the daily life of ordinary people; increasingly, research is set in settings such as scientific laboratories, social movements, governmental and nongovernmental organizations and businesses.","['What has become common for social anthropologists to do since the 1980s?', 'Setting research in the North Atlantic region allows looking at connections between locations rather than being limited to what?', 'What has there been a shift toward broadening the focus beyond?', 'What setting have anthropologists done more research in recently?', 'Governmental and nongovernmental organizations and businesses are all settings which are fair game to do what in?']","['set ethnographic research in the North Atlantic region', 'research to a single locale', 'daily life of ordinary people', 'scientific laboratories', 'research']"
16,"SL Benfica, FC Porto, and Sporting CP are the largest sports clubs by popularity and by number of trophies won, often known as ""os três grandes"" (""the big three""). They have won eight titles in the European UEFA club competitions, were present in many finals and have been regular contenders in the last stages almost every season. Other than football, many Portuguese sports clubs, including the ""big three"", compete in several other sports events with a varying level of success and popularity, these may include roller hockey, basketball, futsal, handball, and volleyball. The Portuguese Football Federation (FPF)  – Federação Portuguesa de Futebol – annually hosts the Algarve Cup, a prestigious women`s football tournament that has been celebrated in the Algarvian part of Portugal.","['What are the three largest sports clubs by popularity in Portugal?', 'What are the three largest sports club by popularity in Portugal known as?', 'How many titles in the European UEFA club competitions have ""the big three"" won?', 'Other than football, what other sports are popular in Portugal?', 'By what entity is the Algarve Cup hosted?']","['SL Benfica, FC Porto, and Sporting CP', '""os três grandes"" (""the big three"")', 'eight', 'roller hockey, basketball, futsal, handball, and volleyball', 'Portuguese Football Federation (FPF)  – Federação Portuguesa de Futebol']"
17,"West's outspoken views and ventures outside of music have received significant mainstream attention. He has been a frequent source of controversy and public scrutiny for his conduct at award shows, on social media, and in other public settings. His more publicized comments include his declaration that President George W. Bush ""doesn't care about black people"" during a live 2005 television broadcast for Hurricane Katrina relief, and his interruption of singer Taylor Swift at the 2009 MTV Video Music Awards. West's efforts as a designer include collaborations with Nike, Louis Vuitton, and A.P.C. on both clothing and footwear, and have most prominently resulted in the Yeezy Season collaboration with Adidas beginning in 2013. He is the founder and head of the creative content company DONDA.","['What President did Kanye West insult on air in 2005?', 'Whose speech did Kanye West ruin at the 2009 MTV Awards?', 'What fashion items does Kanye West design?', 'What company did Kanye West begin?', 'What year did Kanye West begin working with Adidas?']","['George W. Bush', 'Taylor Swift', 'clothing and footwear', 'DONDA', '2013']"
18,There are differences of opinion on the question of whether or not Buddhism should be considered a religion. Many sources commonly refer to Buddhism as a religion. For example:,"['What school of thought is questioned on whether or not it is a religion?', 'What is often referred to as a religion by many sources?']","['Buddhism', 'Buddhism']"
19,"Seasonal rankings (based on average total viewers per episode) of American Idol. It holds the distinction of having the longest winning streak in the Nielsen annual television ratings; it became the highest-rated of all television programs in the United States overall for an unprecedented seven consecutive years, or eight consecutive (and total) years when either its performance or result show was ranked number one overall.","['How many consecutive years was American Idol the top rated show?', 'How many consecutive years did either the performance or results show rank number one?']","['seven', 'eight']"
20,"The scientific evidence is mixed as to whether companionship of a dog can enhance human physical health and psychological wellbeing. Studies suggesting that there are benefits to physical health and psychological wellbeing have been criticised for being poorly controlled, and finding that ""[t]he health of elderly people is related to their health habits and social supports but not to their ownership of, or attachment to, a companion animal."" Earlier studies have shown that people who keep pet dogs or cats exhibit better mental and physical health than those who do not, making fewer visits to the doctor and being less likely to be on medication than non-guardians.","['Studies that people are better off with dogs have been criticized for being what?', 'People who have cats or dogs make fewer visits where?']","['poorly controlled', 'to the doctor']"
21,Two additional teams of 40 attendants each will accompany the flame on its Mainland China route. This arrangement has however sparked several controversies.,"['How many additional teams will help with the Mainland China route?', 'How many members are on each of these two teams?']","['Two', '40']"
22,"Margaret Stout and Carrie M. Staton have also written recently on the mutual influence of Whitehead and Mary Parker Follett, a pioneer in the fields of organizational theory and organizational behavior. Stout and Staton see both Whitehead and Follett as sharing an ontology that ""understands becoming as a relational process; difference as being related, yet unique; and the purpose of becoming as harmonizing difference."" This connection is further analyzed by Stout and Jeannine M. Love in Integrative Process: Follettian Thinking from Ontology to Administration ","['What is Mary Parker Follett known for?', 'What do Margaret Stout and Carrie M. Staton view as commonalities between Whitehead and Follett?', 'What book did Stout and Jeanine M. Love author that further examines the on between Whitehead and Follett?']","['pioneer in the fields of organizational theory and organizational behavior', 'ontology that ""understands becoming as a relational process; difference as being related, yet unique; and the purpose of becoming as harmonizing difference.""', 'Integrative Process: Follettian Thinking from Ontology to Administration']"
23,"Countering Krugman, Peter J. Wallison wrote: ""It is not true that every bubble—even a large bubble—has the potential to cause a financial crisis when it deflates."" Wallison notes that other developed countries had ""large bubbles during the 1997–2007 period"" but ""the losses associated with mortgage delinquencies and defaults when these bubbles deflated were far lower than the losses suffered in the United States when the 1997–2007 [bubble] deflated."" According to Wallison, the reason the U.S. residential housing bubble (as opposed to other types of bubbles) led to financial crisis was that it was supported by a huge number of substandard loans – generally with low or no downpayments.","['Peter J. Wallison believes that the huge number of these loans led to the financial crisis?', 'What type downpayments do substandard loans generally have?', 'According to Peter J. Wallison, why did the U.S. residential housing bubble led to financial crisis?', 'Other countries had large residential housing bubbles that deflated during what years?', ""Peter J. Wallison's conclusions regarding the financial crisis are not in agreement with this economist's views?""]","['substandard', 'low or no downpayments', 'it was supported by a huge number of substandard loans', '1997–2007', 'Krugman']"
24,"Musée Territorial de St.-Barthélemy is a historical museum known as the ""St. Barts Municipal Museum"" also called the ""Wall House"" (musée – bibliothèque) in Gustavia, which is located on the far end of La Pointe. The museum is housed in an old stone house, a two-storey building which has been refurbished. The island’s history relating to French, Swedish and British period of occupation is well presented in the museum with photographs, maps and paintings. Also on display are the ancestral costumes, antique tools, models of Creole houses and ancient fishing boats. It also houses a library.","['What is the English name of the historic museum in St. Barts?', 'What is the French name for the historic museum in St. Barts?', 'What town is the Museum located in?', 'Besides the French and Swedish, who else occupied the island?', 'What type of houses are on display at the museum in St. Barts?']","['St. Barts Municipal Museum', 'Musée Territorial de St.-Barthélemy', 'Gustavia', 'British', 'Creole']"
25,"Horizontal gene transfer is invoked to explain how there is often extreme similarity between small portions of the genomes of two organisms that are otherwise very distantly related. Horizontal gene transfer seems to be common among many microbes. Also, eukaryotic cells seem to have experienced a transfer of some genetic material from their chloroplast and mitochondrial genomes to their nuclear chromosomes.","['What is an explanation for the resemblance between disparate parts of the genome?', 'In which organisms does horizontal gene transfer appear to occur commonly?', 'Parts of which organelle genomes are thought to have ended up in the nucleus of eukaryotic cells via transfer?']","['Horizontal gene transfer', 'microbes', 'chloroplast and mitochondrial genomes']"
26,"Education in Northern Ireland differs slightly from systems used elsewhere in the United Kingdom, but it is more similar to that used in England and Wales than it is to Scotland.","[""Which country is Northern England's school system most different from?"", 'Which countries have school systems somewhat similar to Northern Ireland?']","['Scotland', 'England and Wales']"
27,"Public expenditure of the GDP was less in 2002–05 than in 1991. Public education is theoretically free and mandatory for under-16-year-olds, but in practice, expenses exist. Net primary enrollment rate was 44% in 2005, much less than the 79% in 1991. The country has universities. Education between ages six and sixteen is compulsory. Pupils who complete six years of primary school and seven years of secondary school obtain a baccalaureate. At the university, students can obtain a bachelor's degree in three years and a master's after four. Marien Ngouabi University—which offers courses in medicine, law and several other fields—is the country's only public university. Instruction at all levels is in French, and the educational system as a whole models the French system. The educational infrastructure has been seriously degraded as a result of political and economic crises. There are no seats in most classrooms, forcing children to sit on the floor. Enterprising individuals have set up private schools, but they often lack the technical knowledge and familiarity with the national curriculum to teach effectively. Families frequently enroll their children in private schools only to find they cannot make the payments.","['Public schooling is required for people under what age?', 'What was the school enrollment rate in 2005?', 'What do students who finish 13 years of schooling receive?', 'What language is used in Congolese schools?']","['16', '44%', 'baccalaureate', 'French']"
28,"The Prime Minister's executive office is usually called the Office of the Prime Minister in the case of the Canada and other Commonwealth countries, it is called Cabinet Office in United Kingdom. Some Prime Minister's office do include the role of Cabinet. In other countries, it is called the Prime Minister's Department or the Department of the Prime Minister and Cabinet as for Australia.","[""What is the head of government's office called in Canada?"", ""What is the head of government's office called in the UK?""]","['Office of the Prime Minister', 'Cabinet Office']"
29,"Most of these institutes award diplomas after three or three and a half years of education. The Institute of technology implementation (IUT from Instituto universitario de tecnologia on Spanish) began with the creation of the first IUT at Caracas, capital city of Venezuela, called IUT. Dr. Federico Rivero Palacio adopted the French ""Institut Universitaire de Technologie""s system, using French personnel and study system based on three-year periods, with research and engineering facilities at the same level as the main national universities to obtain French equivalent degrees. This IUT is the first and only one in Venezuela having French equivalent degrees accepted, implementing this system and observing the high-level degrees some other IUT's were created in Venezuela, regardless of this the term IUT was not used appropriately resulting in some institutions with mediocre quality and no equivalent degree in France. Later, some private institutions sprang up using IUT in their names, but they are not regulated by the original French system and award lower quality degrees.","['What city in Venezuela had the first IUT?', 'Who pioneered using the French system of technological education?']","['Caracas', 'Dr. Federico Rivero Palacio']"
30,"In 2013–14 a pornographic actor was trying to remove archived images of himself, first by sending multiple DMCA requests to the Archive and then in the Federal Court of Canada.","['What was the first method used by the actor in trying to get his images taken down?', 'What legal system did the actor use after filing DMCA petitions?']","['DMCA requests', 'Federal Court of Canada']"
31,"Beginning in the 18th century, the situation changed from more or less active persecution of religious services to a state of restricted toleration of other religions, as long as their services took place secretly in private churches.","['When did the active persecution of religious services become more of a restricted tolerance?', 'Religious services for other religions were tolerated as long as they adhered to what rule?']","['in the 18th century', 'as long as their services took place secretly in private churches']"
32,"Symbiosis played a major role in the co-evolution of flowering plants and the animals that pollinate them. Many plants that are pollinated by insects, bats, or birds have highly specialized flowers modified to promote pollination by a specific pollinator that is also correspondingly adapted. The first flowering plants in the fossil record had relatively simple flowers. Adaptive speciation quickly gave rise to many diverse groups of plants, and, at the same time, corresponding speciation occurred in certain insect groups. Some groups of plants developed nectar and large sticky pollen, while insects evolved more specialized morphologies to access and collect these rich food sources. In some taxa of plants and insects the relationship has become dependent, where the plant species can only be pollinated by one species of insect.","['How big a part did symbiosis have in the development of flowering plants and their pollinators?', 'What did some plants produce when flowers became less simple?', 'What is the word for the kind of relationship in which a plant depend on a single type of insect?']","['a major role', 'nectar and large sticky pollen', 'dependent']"
33,"The Constitution of Canada gives the federal government exclusive responsibility for national defence, and expenditures are thus outlined in the federal budget. For the 2008–2009 fiscal year, the amount allocated for defence spending was CAD$18.9 billion. This regular funding was augmented in 2005 with an additional CAD$12.5 billion over five years, as well as a commitment to increasing regular force troop levels by 5,000 persons, and the primary reserve by 3,000 over the same period. In 2006, a further CAD$5.3 billion over five years was provided to allow for 13,000 more regular force members, and 10,000 more primary reserve personnel, as well as CAD$17.1 billion for the purchase of new trucks for the Canadian Army, transport aircraft and helicopters for the Royal Canadian Air Force, and joint support ships for the Royal Canadian Navy.","['What gives the federal government responsibility for national defense?', 'What year was an additional 12.5 Billion Canadian Dollars assigned for over five years?']","['The Constitution of Canada', '2005']"
34,"While the number of cardinals was small from the times of the Roman Empire to the Renaissance, and frequently smaller than the number of recognized churches entitled to a cardinal priest, in the 16th century the College expanded markedly. In 1587, Pope Sixtus V sought to arrest this growth by fixing the maximum size of the College at 70, including 50 cardinal priests, about twice the historical number. This limit was respected until 1958, and the list of titular churches modified only on rare occasions, generally when a building fell into disrepair. When Pope John XXIII abolished the limit, he began to add new churches to the list, which Popes Paul VI and John Paul II continued to do. Today there are close to 150 titular churches, out of over 300 churches in Rome.","['In what year did Pope Sixtus V put a cap on the number of cardinals in the College of Cardinals?', 'What was the maximum number allowed per Pope Sixtus V?', 'Who removed the cap on cardinals in the College of the Cardinals?']","['1587', '70', 'Pope John XXIII']"
35,"The geographical regions in which Iranian languages were spoken were pushed back in several areas by newly neighbouring languages. Arabic spread into some parts of Western Iran (Khuzestan), and Turkic languages spread through much of Central Asia, displacing various Iranian languages such as Sogdian and Bactrian in parts of what is today Turkmenistan, Uzbekistan and Tajikistan. In Eastern Europe, mostly comprising the territory of modern-day Ukraine, southern European Russia, and parts of the Balkans, the core region of the native Scythians, Sarmatians, and Alans had been decisively been taken over as a result of absorption and assimilation (e.g. Slavicisation) by the various Proto-Slavic population of the region, by the 6th century AD. This resulted in the displacement and extinction of the once predominant Scythian languages of the region. Sogdian's close relative Yaghnobi barely survives in a small area of the Zarafshan valley east of Samarkand, and Saka as Ossetic in the Caucasus, which is the sole remnant of the once predominant Scythian languages in Eastern Europe proper and large parts of the North Caucasus. Various small Iranian languages in the Pamirs survive that are derived from Eastern Iranian.","['What is another term for Western Iran?', 'What are two languages that were forced out by the spread of Arabic?', 'By what century had the area inhabited by Sarmatians been absorbed by pre-Slavic people?', 'Where can the remnants of Yaghnobi be found?', 'Ossetic is a version of which Scythian language?']","['Khuzestan', 'Sogdian and Bactrian', '6th century AD', 'Zarafshan valley', 'Saka']"
36,"The Professional Lighting And Sound Association (PLASA) is a UK-based trade organisation representing the 500+ individual and corporate members drawn from the technical services sector. Its members include manufacturers and distributors of stage and entertainment lighting, sound, rigging and similar products and services, and affiliated professionals in the area. They lobby for and represent the interests of the industry at various levels, interacting with government and regulating bodies and presenting the case for the entertainment industry. Example subjects of this representation include the ongoing review of radio frequencies (which may or may not affect the radio bands in which wireless microphones and other devices use) and engaging with the issues surrounding the introduction of the RoHS (Restriction of Hazardous Substances Directive) regulations.","['What does PLASA stand for? ', 'Where is PLASA based?', 'How many individuals does PLASA represent?', 'What does RoHS stand for?']","['The Professional Lighting And Sound Association', 'UK', '500+', 'Restriction of Hazardous Substances Directive']"
37,"An example of the second view at the State level is found in the view of the Florida Supreme Court, that only the Florida Supreme Court may license and regulate attorneys appearing before the courts of Florida, and only the Florida Supreme Court may set rules for procedures in the Florida courts.[citation needed] The State of New Hampshire also follows this system.[citation needed]","['Who may license and regulate attorneys in Florida?', 'Who sets the procedures to be followed in the Florida court system?']","['the Florida Supreme Court', 'the Florida Supreme Court']"
38,"Concurrently, the recent movements of New Urbanism, Metaphoric architecture and New Classical Architecture promote a sustainable approach towards construction, that appreciates and develops smart growth, architectural tradition and classical design. This in contrast to modernist and globally uniform architecture, as well as leaning against solitary housing estates and suburban sprawl.","['What are three new movements that have a focus on sustainability?', 'What kinds of buildings and building developments are the new movements not in favor of?', 'What are three things the new movements try to achieve?', 'What older architectural movements do the newer movements not go along with?']","['New Urbanism, Metaphoric architecture and New Classical Architecture', 'solitary housing estates and suburban sprawl.', 'smart growth, architectural tradition and classical design', 'modernist and globally uniform architecture']"
39,"The HDI has extended its geographical coverage: David Hastings, of the United Nations Economic and Social Commission for Asia and the Pacific, published a report geographically extending the HDI to 230+ economies, whereas the UNDP HDI for 2009 enumerates 182 economies and coverage for the 2010 HDI dropped to 169 countries.","['How many countries were included in the 2009 HDI?', 'How many countries were included in the 2010 HDI?']","['182', '169']"
40,European Travel Commission divides the European region on the basis of Tourism Decision Metrics (TDM) model. Countries which belong to the Southern/Mediterranean Europe are:,"['What does TDM stand for?', 'Which group uses TDM as a metric?']","['Tourism Decision Metrics', 'European Travel Commission']"
41,"BBC Japan was a general entertainment channel, which operated between December 2004 and April 2006. It ceased operations after its Japanese distributor folded.","['When did BBC Japan begin broadcasting?', 'When did BBC Japan shut down?', 'What was the genre of BBC Japan?']","['December 2004', 'April 2006', 'general entertainment']"
